"","AirQualityStationEoICode","DatetimeBegin","DatetimeEnd","AirPollutant","Concentration","UnitOfMeasurement","Validity","Verification"
"1","ES1239A","2023-05-01 00:00:00 +01:00","2023-05-01 01:00:00 +01:00","SO2",3,"µg/m3",1,3
"2","ES1239A","2023-05-01 01:00:00 +01:00","2023-05-01 02:00:00 +01:00","SO2",3,"µg/m3",1,3
"3","ES1239A","2023-05-01 02:00:00 +01:00","2023-05-01 03:00:00 +01:00","SO2",3,"µg/m3",1,3
"4","ES1239A","2023-05-01 03:00:00 +01:00","2023-05-01 04:00:00 +01:00","SO2",3,"µg/m3",1,3
"5","ES1239A","2023-05-01 04:00:00 +01:00","2023-05-01 05:00:00 +01:00","SO2",3,"µg/m3",1,3
"6","ES1239A","2023-05-01 05:00:00 +01:00","2023-05-01 06:00:00 +01:00","SO2",3,"µg/m3",1,3
"7","ES1239A","2023-05-01 06:00:00 +01:00","2023-05-01 07:00:00 +01:00","SO2",3,"µg/m3",1,3
"8","ES1239A","2023-05-01 07:00:00 +01:00","2023-05-01 08:00:00 +01:00","SO2",3,"µg/m3",1,3
"9","ES1239A","2023-05-01 08:00:00 +01:00","2023-05-01 09:00:00 +01:00","SO2",3,"µg/m3",1,3
"10","ES1239A","2023-05-01 09:00:00 +01:00","2023-05-01 10:00:00 +01:00","SO2",3,"µg/m3",1,3
"11","ES1239A","2023-05-01 10:00:00 +01:00","2023-05-01 11:00:00 +01:00","SO2",3,"µg/m3",1,3
"12","ES1239A","2023-05-01 11:00:00 +01:00","2023-05-01 12:00:00 +01:00","SO2",3,"µg/m3",1,3
"13","ES1239A","2023-05-01 12:00:00 +01:00","2023-05-01 13:00:00 +01:00","SO2",3,"µg/m3",1,3
"14","ES1239A","2023-05-01 13:00:00 +01:00","2023-05-01 14:00:00 +01:00","SO2",3,"µg/m3",1,3
"15","ES1239A","2023-05-01 14:00:00 +01:00","2023-05-01 15:00:00 +01:00","SO2",3,"µg/m3",1,3
"16","ES1239A","2023-05-01 15:00:00 +01:00","2023-05-01 16:00:00 +01:00","SO2",3,"µg/m3",1,3
"17","ES1239A","2023-05-01 16:00:00 +01:00","2023-05-01 17:00:00 +01:00","SO2",4,"µg/m3",1,3
"18","ES1239A","2023-05-01 17:00:00 +01:00","2023-05-01 18:00:00 +01:00","SO2",4,"µg/m3",1,3
"19","ES1239A","2023-05-01 18:00:00 +01:00","2023-05-01 19:00:00 +01:00","SO2",3,"µg/m3",1,3
"20","ES1239A","2023-05-01 19:00:00 +01:00","2023-05-01 20:00:00 +01:00","SO2",3,"µg/m3",1,3
"21","ES1239A","2023-05-01 20:00:00 +01:00","2023-05-01 21:00:00 +01:00","SO2",3,"µg/m3",1,3
"22","ES1239A","2023-05-01 21:00:00 +01:00","2023-05-01 22:00:00 +01:00","SO2",3,"µg/m3",1,3
"23","ES1239A","2023-05-01 22:00:00 +01:00","2023-05-01 23:00:00 +01:00","SO2",3,"µg/m3",1,3
"24","ES1239A","2023-05-01 23:00:00 +01:00","2023-05-02 00:00:00 +01:00","SO2",3,"µg/m3",1,3
"25","ES1239A","2023-05-02 00:00:00 +01:00","2023-05-02 01:00:00 +01:00","SO2",3,"µg/m3",1,3
"26","ES1239A","2023-05-02 01:00:00 +01:00","2023-05-02 02:00:00 +01:00","SO2",3,"µg/m3",1,3
"27","ES1239A","2023-05-02 02:00:00 +01:00","2023-05-02 03:00:00 +01:00","SO2",3,"µg/m3",1,3
"28","ES1239A","2023-05-02 03:00:00 +01:00","2023-05-02 04:00:00 +01:00","SO2",3,"µg/m3",1,3
"29","ES1239A","2023-05-02 04:00:00 +01:00","2023-05-02 05:00:00 +01:00","SO2",3,"µg/m3",1,3
"30","ES1239A","2023-05-02 05:00:00 +01:00","2023-05-02 06:00:00 +01:00","SO2",3,"µg/m3",1,3
"31","ES1239A","2023-05-02 06:00:00 +01:00","2023-05-02 07:00:00 +01:00","SO2",5,"µg/m3",1,3
"32","ES1239A","2023-05-02 07:00:00 +01:00","2023-05-02 08:00:00 +01:00","SO2",7,"µg/m3",1,3
"33","ES1239A","2023-05-02 08:00:00 +01:00","2023-05-02 09:00:00 +01:00","SO2",3,"µg/m3",1,3
"34","ES1239A","2023-05-02 09:00:00 +01:00","2023-05-02 10:00:00 +01:00","SO2",4,"µg/m3",1,3
"35","ES1239A","2023-05-02 10:00:00 +01:00","2023-05-02 11:00:00 +01:00","SO2",3,"µg/m3",1,3
"36","ES1239A","2023-05-02 11:00:00 +01:00","2023-05-02 12:00:00 +01:00","SO2",3,"µg/m3",1,3
"37","ES1239A","2023-05-02 12:00:00 +01:00","2023-05-02 13:00:00 +01:00","SO2",3,"µg/m3",1,3
"38","ES1239A","2023-05-02 13:00:00 +01:00","2023-05-02 14:00:00 +01:00","SO2",4,"µg/m3",1,3
"39","ES1239A","2023-05-02 14:00:00 +01:00","2023-05-02 15:00:00 +01:00","SO2",3,"µg/m3",1,3
"40","ES1239A","2023-05-02 15:00:00 +01:00","2023-05-02 16:00:00 +01:00","SO2",4,"µg/m3",1,3
"41","ES1239A","2023-05-02 16:00:00 +01:00","2023-05-02 17:00:00 +01:00","SO2",4,"µg/m3",1,3
"42","ES1239A","2023-05-02 17:00:00 +01:00","2023-05-02 18:00:00 +01:00","SO2",3,"µg/m3",1,3
"43","ES1239A","2023-05-02 18:00:00 +01:00","2023-05-02 19:00:00 +01:00","SO2",3,"µg/m3",1,3
"44","ES1239A","2023-05-02 19:00:00 +01:00","2023-05-02 20:00:00 +01:00","SO2",3,"µg/m3",1,3
"45","ES1239A","2023-05-02 20:00:00 +01:00","2023-05-02 21:00:00 +01:00","SO2",3,"µg/m3",1,3
"46","ES1239A","2023-05-02 21:00:00 +01:00","2023-05-02 22:00:00 +01:00","SO2",3,"µg/m3",1,3
"47","ES1239A","2023-05-02 22:00:00 +01:00","2023-05-02 23:00:00 +01:00","SO2",3,"µg/m3",1,3
"48","ES1239A","2023-05-02 23:00:00 +01:00","2023-05-03 00:00:00 +01:00","SO2",3,"µg/m3",1,3
"49","ES1239A","2023-05-03 00:00:00 +01:00","2023-05-03 01:00:00 +01:00","SO2",3,"µg/m3",1,3
"50","ES1239A","2023-05-03 01:00:00 +01:00","2023-05-03 02:00:00 +01:00","SO2",3,"µg/m3",1,3
"51","ES1239A","2023-05-03 02:00:00 +01:00","2023-05-03 03:00:00 +01:00","SO2",3,"µg/m3",1,3
"52","ES1239A","2023-05-03 03:00:00 +01:00","2023-05-03 04:00:00 +01:00","SO2",3,"µg/m3",1,3
"53","ES1239A","2023-05-03 04:00:00 +01:00","2023-05-03 05:00:00 +01:00","SO2",3,"µg/m3",1,3
"54","ES1239A","2023-05-03 05:00:00 +01:00","2023-05-03 06:00:00 +01:00","SO2",3,"µg/m3",1,3
"55","ES1239A","2023-05-03 06:00:00 +01:00","2023-05-03 07:00:00 +01:00","SO2",4,"µg/m3",1,3
"56","ES1239A","2023-05-03 07:00:00 +01:00","2023-05-03 08:00:00 +01:00","SO2",4,"µg/m3",1,3
"57","ES1239A","2023-05-03 08:00:00 +01:00","2023-05-03 09:00:00 +01:00","SO2",4,"µg/m3",1,3
"58","ES1239A","2023-05-03 09:00:00 +01:00","2023-05-03 10:00:00 +01:00","SO2",3,"µg/m3",1,3
"59","ES1239A","2023-05-03 10:00:00 +01:00","2023-05-03 11:00:00 +01:00","SO2",3,"µg/m3",1,3
"60","ES1239A","2023-05-03 11:00:00 +01:00","2023-05-03 12:00:00 +01:00","SO2",3,"µg/m3",1,3
"61","ES1239A","2023-05-03 12:00:00 +01:00","2023-05-03 13:00:00 +01:00","SO2",4,"µg/m3",1,3
"62","ES1239A","2023-05-03 13:00:00 +01:00","2023-05-03 14:00:00 +01:00","SO2",3,"µg/m3",1,3
"63","ES1239A","2023-05-03 14:00:00 +01:00","2023-05-03 15:00:00 +01:00","SO2",3,"µg/m3",1,3
"64","ES1239A","2023-05-03 15:00:00 +01:00","2023-05-03 16:00:00 +01:00","SO2",3,"µg/m3",1,3
"65","ES1239A","2023-05-03 16:00:00 +01:00","2023-05-03 17:00:00 +01:00","SO2",4,"µg/m3",1,3
"66","ES1239A","2023-05-03 17:00:00 +01:00","2023-05-03 18:00:00 +01:00","SO2",3,"µg/m3",1,3
"67","ES1239A","2023-05-03 18:00:00 +01:00","2023-05-03 19:00:00 +01:00","SO2",3,"µg/m3",1,3
"68","ES1239A","2023-05-03 19:00:00 +01:00","2023-05-03 20:00:00 +01:00","SO2",3,"µg/m3",1,3
